<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLX.US,D,20241004,000000,16.5,21.9499,16.5,18.01,1378635,0
FLX.US,D,20241007,000000,16.86,17.31,16,16.49,408213,0
FLX.US,D,20241008,000000,14.95,15.3,14.5101,15,218691,0
FLX.US,D,20241009,000000,14.95,14.96,12.52,12.95,204299,0
FLX.US,D,20241010,000000,12.8,14.1999,11.4651,12.4,175181,0
FLX.US,D,20241011,000000,12.53,13.001,11.5,12.45,101897,0
FLX.US,D,20241014,000000,12.76,13.6842,12,12.63,93461,0
FLX.US,D,20241015,000000,12.11,13.49,11.7,12.86,69250,0
FLX.US,D,20241016,000000,13.26,14.79,12.066,14.56,139540,0
FLX.US,D,20241017,000000,14.47,15.49,13.6,14.97,99585,0
FLX.US,D,20241018,000000,15.5475,15.6899,14.28,15.1,33231,0
FLX.US,D,20241021,000000,14.52,14.8,13.52,14.4,139316,0
FLX.US,D,20241022,000000,14.52,14.53,13.83,13.93,60641,0
FLX.US,D,20241023,000000,13.61,14.464,13.5,13.8,87872,0
FLX.US,D,20241024,000000,13.9,14.245,13.09,13.6,92614,0
FLX.US,D,20241025,000000,13.16,13.64,13.045,13.26,45742,0
FLX.US,D,20241028,000000,13.22,14.35,13.01,13.99,40662,0
FLX.US,D,20241029,000000,13.57,14.21,13.54,14,28606,0
